"Occupation - National Occupational Classification (NOC) 2016 (693A)","Total - Period of immigration [4]","  1980 to 1990","  1991 to 2000","  2001 to 2010","    2001 to 2005","    2006 to 2010","  2011 to 2016 [5]", 
"          5132 Conductors, composers and arrangers",575,140,170,195,110,85,70 
"          5133 Musicians and singers",6790,1330,2275,2270,1315,960,915 
"          5134 Dancers",1550,180,390,700,280,420,285 
"          5135 Actors and comedians",2085,395,605,710,380,335,375 
"          5136 Painters, sculptors and other visual artists",4170,835,1225,1370,680,695,740 
"      52 Technical occupations in art, culture, recreation and sport",60675,10305,17210,22480,11380,11095,10680 
"        521 Technical occupations in libraries, public archives, museums and art galleries",1815,475,520,600,300,300,215 
"          5211 Library and public archive technicians",990,330,290,290,150,135,75 
"          5212 Technical occupations related to museums and art galleries",820,145,230,310,145,165,135 
"        522 Photographers, graphic arts technicians and technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts",11495,2125,3195,3835,1800,2035,2325 
"          5221 Photographers",3750,730,1060,1340,660,680,620 
"          5222 Film and video camera operators",810,155,255,280,145,130,120 
"          5223 Graphic arts technicians",1400,245,285,470,220,255,405 
"          5224 Broadcast technicians",375,55,115,180,80,95,25 
"          5225 Audio and video recording technicians",1910,335,495,585,240,350,500 
"          5226 Other technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts",1805,315,565,550,275,275,370 
